Fips,Name,Population,Longitude,Latitude,Km2,UrbanDensity,PercentUrban,Emp-1133,Est-1133,Pay-1133,Emp-1151,Est-1151,Pay-1151,Emp-1152,Est-1152,Pay-1152,Emp-2123,Est-2123,Pay-2123,Emp-2211,Est-2211,Pay-2211,Emp-2213,Est-2213,Pay-2213,Emp-2361,Est-2361,Pay-2361,Emp-2362,Est-2362,Pay-2362,Emp-2371,Est-2371,Pay-2371,Emp-2372,Est-2372,Pay-2372,Emp-2373,Est-2373,Pay-2373,Emp-2379,Est-2379,Pay-2379,Emp-2381,Est-2381,Pay-2381,Emp-2382,Est-2382,Pay-2382,Emp-2383,Est-2383,Pay-2383,Emp-2389,Est-2389,Pay-2389,Emp-3111,Est-3111,Pay-3111,Emp-3116,Est-3116,Pay-3116,Emp-3118,Est-3118,Pay-3118,Emp-3121,Est-3121,Pay-3121,Emp-3149,Est-3149,Pay-3149,Emp-3211,Est-3211,Pay-3211,Emp-3219,Est-3219,Pay-3219,Emp-3222,Est-3222,Pay-3222,Emp-3231,Est-3231,Pay-3231,Emp-3256,Est-3256,Pay-3256,Emp-3261,Est-3261,Pay-3261,Emp-3273,Est-3273,Pay-3273,Emp-3279,Est-3279,Pay-3279,Emp-3323,Est-3323,Pay-3323,Emp-3327,Est-3327,Pay-3327,Emp-3329,Est-3329,Pay-3329,Emp-3331,Est-3331,Pay-3331,Emp-3335,Est-3335,Pay-3335,Emp-3336,Est-3336,Pay-3336,Emp-3339,Est-3339,Pay-3339,Emp-3344,Est-3344,Pay-3344,Emp-3362,Est-3362,Pay-3362,Emp-3371,Est-3371,Pay-3371,Emp-3391,Est-3391,Pay-3391,Emp-3399,Est-3399,Pay-3399,Emp-4231,Est-4231,Pay-4231,Emp-4232,Est-4232,Pay-4232,Emp-4233,Est-4233,Pay-4233,Emp-4234,Est-4234,Pay-4234,Emp-4235,Est-4235,Pay-4235,Emp-4236,Est-4236,Pay-4236,Emp-4237,Est-4237,Pay-4237,Emp-4238,Est-4238,Pay-4238,Emp-4239,Est-4239,Pay-4239,Emp-4241,Est-4241,Pay-4241,Emp-4242,Est-4242,Pay-4242,Emp-4243,Est-4243,Pay-4243,Emp-4244,Est-4244,Pay-4244,Emp-4245,Est-4245,Pay-4245,Emp-4246,Est-4246,Pay-4246,Emp-4247,Est-4247,Pay-4247,Emp-4248,Est-4248,Pay-4248,Emp-4249,Est-4249,Pay-4249,Emp-4251,Est-4251,Pay-4251,Emp-4411,Est-4411,Pay-4411,Emp-4412,Est-4412,Pay-4412,Emp-4413,Est-4413,Pay-4413,Emp-4421,Est-4421,Pay-4421,Emp-4422,Est-4422,Pay-4422,Emp-4431,Est-4431,Pay-4431,Emp-4441,Est-4441,Pay-4441,Emp-4442,Est-4442,Pay-4442,Emp-4451,Est-4451,Pay-4451,Emp-4452,Est-4452,Pay-4452,Emp-4453,Est-4453,Pay-4453,Emp-4461,Est-4461,Pay-4461,Emp-4471,Est-4471,Pay-4471,Emp-4481,Est-4481,Pay-4481,Emp-4482,Est-4482,Pay-4482,Emp-4483,Est-4483,Pay-4483,Emp-4511,Est-4511,Pay-4511,Emp-4512,Est-4512,Pay-4512,Emp-4522,Est-4522,Pay-4522,Emp-4523,Est-4523,Pay-4523,Emp-4531,Est-4531,Pay-4531,Emp-4532,Est-4532,Pay-4532,Emp-4533,Est-4533,Pay-4533,Emp-4539,Est-4539,Pay-4539,Emp-4541,Est-4541,Pay-4541,Emp-4542,Est-4542,Pay-4542,Emp-4543,Est-4543,Pay-4543,Emp-4811,Est-4811,Pay-4811,Emp-4812,Est-4812,Pay-4812,Emp-4841,Est-4841,Pay-4841,Emp-4842,Est-4842,Pay-4842,Emp-4853,Est-4853,Pay-4853,Emp-4859,Est-4859,Pay-4859,Emp-4869,Est-4869,Pay-4869,Emp-4871,Est-4871,Pay-4871,Emp-4879,Est-4879,Pay-4879,Emp-4881,Est-4881,Pay-4881,Emp-4882,Est-4882,Pay-4882,Emp-4884,Est-4884,Pay-4884,Emp-4885,Est-4885,Pay-4885,Emp-4921,Est-4921,Pay-4921,Emp-4922,Est-4922,Pay-4922,Emp-4931,Est-4931,Pay-4931,Emp-5111,Est-5111,Pay-5111,Emp-5112,Est-5112,Pay-5112,Emp-5121,Est-5121,Pay-5121,Emp-5151,Est-5151,Pay-5151,Emp-5173,Est-5173,Pay-5173,Emp-5179,Est-5179,Pay-5179,Emp-5182,Est-5182,Pay-5182,Emp-5191,Est-5191,Pay-5191,Emp-5221,Est-5221,Pay-5221,Emp-5222,Est-5222,Pay-5222,Emp-5223,Est-5223,Pay-5223,Emp-5231,Est-5231,Pay-5231,Emp-5239,Est-5239,Pay-5239,Emp-5241,Est-5241,Pay-5241,Emp-5242,Est-5242,Pay-5242,Emp-5259,Est-5259,Pay-5259,Emp-5311,Est-5311,Pay-5311,Emp-5312,Est-5312,Pay-5312,Emp-5313,Est-5313,Pay-5313,Emp-5321,Est-5321,Pay-5321,Emp-5322,Est-5322,Pay-5322,Emp-5323,Est-5323,Pay-5323,Emp-5324,Est-5324,Pay-5324,Emp-5411,Est-5411,Pay-5411,Emp-5412,Est-5412,Pay-5412,Emp-5413,Est-5413,Pay-5413,Emp-5414,Est-5414,Pay-5414,Emp-5415,Est-5415,Pay-5415,Emp-5416,Est-5416,Pay-5416,Emp-5417,Est-5417,Pay-5417,Emp-5418,Est-5418,Pay-5418,Emp-5419,Est-5419,Pay-5419,Emp-5511,Est-5511,Pay-5511,Emp-5611,Est-5611,Pay-5611,Emp-5612,Est-5612,Pay-5612,Emp-5613,Est-5613,Pay-5613,Emp-5614,Est-5614,Pay-5614,Emp-5615,Est-5615,Pay-5615,Emp-5616,Est-5616,Pay-5616,Emp-5617,Est-5617,Pay-5617,Emp-5619,Est-5619,Pay-5619,Emp-5621,Est-5621,Pay-5621,Emp-5629,Est-5629,Pay-5629,Emp-6111,Est-6111,Pay-6111,Emp-6113,Est-6113,Pay-6113,Emp-6114,Est-6114,Pay-6114,Emp-6115,Est-6115,Pay-6115,Emp-6116,Est-6116,Pay-6116,Emp-6117,Est-6117,Pay-6117,Emp-6211,Est-6211,Pay-6211,Emp-6212,Est-6212,Pay-6212,Emp-6213,Est-6213,Pay-6213,Emp-6214,Est-6214,Pay-6214,Emp-6215,Est-6215,Pay-6215,Emp-6216,Est-6216,Pay-6216,Emp-6219,Est-6219,Pay-6219,Emp-6221,Est-6221,Pay-6221,Emp-6223,Est-6223,Pay-6223,Emp-6231,Est-6231,Pay-6231,Emp-6232,Est-6232,Pay-6232,Emp-6233,Est-6233,Pay-6233,Emp-6241,Est-6241,Pay-6241,Emp-6242,Est-6242,Pay-6242,Emp-6243,Est-6243,Pay-6243,Emp-6244,Est-6244,Pay-6244,Emp-7111,Est-7111,Pay-7111,Emp-7112,Est-7112,Pay-7112,Emp-7113,Est-7113,Pay-7113,Emp-7115,Est-7115,Pay-7115,Emp-7121,Est-7121,Pay-7121,Emp-7131,Est-7131,Pay-7131,Emp-7132,Est-7132,Pay-7132,Emp-7139,Est-7139,Pay-7139,Emp-7211,Est-7211,Pay-7211,Emp-7212,Est-7212,Pay-7212,Emp-7213,Est-7213,Pay-7213,Emp-7223,Est-7223,Pay-7223,Emp-7224,Est-7224,Pay-7224,Emp-7225,Est-7225,Pay-7225,Emp-8111,Est-8111,Pay-8111,Emp-8112,Est-8112,Pay-8112,Emp-8113,Est-8113,Pay-8113,Emp-8114,Est-8114,Pay-8114,Emp-8121,Est-8121,Pay-8121,Emp-8122,Est-8122,Pay-8122,Emp-8123,Est-8123,Pay-8123,Emp-8129,Est-8129,Pay-8129,Emp-8131,Est-8131,Pay-8131,Emp-8132,Est-8132,Pay-8132,Emp-8133,Est-8133,Pay-8133,Emp-8134,Est-8134,Pay-8134,Emp-8139,Est-8139,Pay-8139
46003,Aurora County,3,-98.57,43.7,1846.04,0.0,0.0,,,,,,,,,,,,,,,,,,,9,3,304,,,,,,,,,,,,,,,,6,3,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,3,1443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,4,932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,134,5,3,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3,1609,,,,,,,,,,,,,,,,7,4,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,6,259,10,3,508,,,,,,,,,,,,,,,,,,,,,,6,4,147,,,,,,,,,,,,
46051,Grant County,7,-96.03,45.94,1780.9,0.0,0.0,,,,,,,,,,,,,147,5,13027,,,,14,5,319,,,,,,,,,,,,,,,,64,9,4791,49,9,2658,,,,43,9,4046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,6,1383,,,,48,3,1767,,,,86,4,4078,,,,,,,16,4,960,19,6,730,,,,89,4,1242,,,,14,3,88,,,,76,5,1370,,,,,,,,,,,,,,,,,,,59,3,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,12,4323,7,3,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,5,2402,,,,,,,,,,,,,,,,25,8,663,,,,5,3,54,,,,,,,,,,,,,,,,,,,14,6,482,5,3,67,,,,,,,,,,2,3,196,,,,,,,,,,,,,,,,,,,71,3,4640,,,,,,,,,,8,4,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,3,1542,321,8,14863,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,7,1208,33,4,499,,,,,,,,,,17,5,217,180,15,2015,43,10,1514,,,,,,,,,,,,,,,,,,,,,,86,16,1627,,,,,,,9,3,88,,,
46123,Tripp County,5,-99.89,43.32,4188.76,0.0,0.0,,,,,,,,,,,,,,,,,,,6,4,168,,,,,,,,,,,,,,,,,,,19,3,627,,,,14,3,582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,4,5389,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,6,2119,,,,,,,,,,26,3,589,,,,,,,,,,16,3,445,,,,54,3,958,,,,,,,,,,52,4,765,4,3,32,,,,,,,10,3,235,,,,,,,77,4,1118,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,8,515,22,9,1749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,5,2018,,,,,,,,,,,,,,,,17,5,593,,,,,,,,,,,,,,,,,,,,,,,,,10,4,231,39,6,1272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3,874,16,3,575,24,4,917,,,,,,,,,,,,,,,,,,,,,,53,3,972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,5,524,,,,,,,,,,15,3,187,186,13,2324,26,9,717,,,,,,,,,,,,,,,,,,,,,,17,3,190,,,,,,,,,,,,
46085,Lyman County,4,-99.86,43.92,4420.38,0.0,0.0,,,,,,,,,,,,,,,,,,,6,4,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,4,482,,,,,,,,,,76,9,2042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,4,881,,,,,,,,,,,,,,,,14,3,362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,7,1779,2,3,161,,,,,,,,,,103,4,2052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46039,Deuel County,4,-102.33,41.11,1648.26,0.0,0.0,,,,,,,,,,,,,,,,,,,10,5,448,4,6,1167,,,,,,,,,,,,,22,10,4303,7,4,334,3,3,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,5,2401,,,,16,4,554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,4,788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,80,8,4,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3,1129,,,,,,,,,,,,,,,,10,3,451,,,,,,,,,,,,,,,,,,,,,,,,,6,3,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,84,,,,,,,,,,,,,,,,28,5,288,,,,,,,3,3,178,,,,,,,,,,,,,,,,26,8,249,,,,,,,,,,,,
46137,Ziebach County,3,-101.71,44.92,5104.32,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,3,1104,,,,,,,,,,,,,,,,,,,,,,4,3,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,3,934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46115,Spink County,6,-98.37,44.94,3910.53,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,345,11,3,445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,5,2925,,,,,,,,,,96,10,6568,,,,,,,,,,9,3,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,6,1207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,188,,,,,,,,,,45,12,1865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,7,3563,,,,,,,,,,,,,,,,28,10,1668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3,159,,,,,,,,,,,,,13,3,96,75,10,847,15,6,672,,,,16,3,601,,,,,,,,,,,,,,,,37,11,453,,,,,,,,,,,,
46009,Bon Homme County,7,-97.87,43.01,1506.28,0.0,0.0,,,,,,,,,,,,,,,,,,,6,3,148,,,,,,,,,,,,,,,,,,,14,4,760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,5,1610,,,,,,,,,,49,4,1234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,9,1130,,,,,,,,,,,,,,,,,,,,,,21,3,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,6,2010,,,,,,,,,,,,,,,,23,9,699,,,,8,3,81,,,,,,,,,,,,,,,,,,,15,4,612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,299,,,,,,,,,,,,,,,,,,,,,,,,,170,3,3913,,,,12,3,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,226,,,,,,,,,,,,,20,4,248,28,5,278,14,4,455,,,,,,,,,,,,,,,,,,,,,,27,12,314,,,,,,,,,,,,
46011,Brookings County,35,-96.79,44.38,2084.82,2.56,0.12,,,,,,,,,,,,,51,4,5200,,,,73,25,2534,81,4,4222,,,,,,,,,,,,,64,20,3977,152,29,6282,53,16,2280,44,13,2009,86,3,5638,,,,,,,7,3,102,,,,,,,,,,,,,13,3,487,,,,157,3,6841,,,,,,,,,,12,3,681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,7,5482,14,4,639,,,,,,,,,,14,3,506,101,7,5336,,,,,,,,,,87,10,4634,,,,115,4,4868,,,,86,10,2918,,,,16,3,611,24,6,719,213,7,5882,,,,460,3,8228,,,,,,,48,7,1749,246,20,4093,57,8,945,,,,,,,44,5,687,,,,,,,405,4,9861,,,,,,,27,7,479,6,6,162,,,,,,,,,,,,,,,,92,13,5425,47,17,1619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,380,44,4,1259,,,,28,3,444,,,,54,7,2415,,,,,,,,,,538,17,32686,1,3,184,,,,,,,15,6,1410,,,,55,18,2079,,,,51,18,1249,25,12,1053,150,8,5428,,,,,,,,,,,,,41,7,2553,34,7,1196,287,20,12470,,,,14,6,2247,82,18,4230,67,4,3188,,,,55,14,2042,,,,,,,,,,21,4,924,,,,,,,,,,67,28,1591,12,8,905,,,,,,,,,,,,,,,,,,,45,11,520,,,,157,3,8691,89,13,5629,98,18,3156,20,3,813,,,,,,,,,,,,,,,,,,,187,11,3472,134,6,2062,154,10,3024,33,4,595,,,,113,14,1498,,,,,,,,,,6,4,188,,,,,,,20,4,523,120,16,1690,270,11,3961,,,,,,,163,3,5139,172,19,2158,1193,53,16434,75,18,3074,,,,,,,7,3,179,95,12,2585,11,3,272,,,,11,4,206,277,31,4466,48,5,2862,29,5,688,11,6,333,18,7,1291
46015,Brule County,5,-99.05,43.68,2192.34,0.0,0.0,,,,2,3,110,,,,,,,,,,,,,14,7,454,,,,,,,,,,,,,,,,30,7,799,27,7,653,,,,12,3,455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,5,3145,,,,,,,,,,,,,,,,,,,,,,20,6,755,13,3,547,,,,,,,,,,,,,54,9,1811,,,,,,,,,,,,,,,,,,,37,4,634,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,256,15,4,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,4,1953,,,,,,,,,,,,,,,,29,8,1546,,,,,,,,,,,,,,,,,,,,,,,,,8,3,248,17,3,529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,7,415,,,,,,,,,,,,,,,,,,,,,,,,,35,3,654,,,,13,3,200,,,,27,6,397,,,,,,,,,,,,,,,,,,,,,,36,6,936,53,7,1076,4,4,127,,,,,,,30,4,187,194,13,2977,35,7,1366,,,,,,,,,,9,3,78,,,,,,,,,,28,8,534,,,,,,,,,,,,
